procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0    144 2486596 117272 1247988    0    0     0     0 1159  3584 24  1 75  0
 1  0    144 2484684 117272 1247988    0    0     0     0 1162  2421 24  1 75  0
 1  0    144 2485388 117272 1247988    0    0     0    16 1162  2189 24  1 75  0
 1  0    144 2485828 117272 1247988    0    0     0     0 1161  2527 24  1 75  0
 1  0    144 2485828 117272 1247988    0    0     0    78 1171  2954 24  1 75  0
 1  0    144 2486348 117272 1247988    0    0     0     0 1159  2962 24  1 75  0
 1  0    144 2486732 117272 1247988    0    0     0     0 1159  2427 24  1 75  0
 1  0    144 2487116 117272 1247988    0    0     0    16 1164  3151 24  1 75  0
 1  0    144 2486980 117272 1247988    0    0     0     0 1162  2555 24  1 75  0
 1  0    144 2487684 117272 1247988    0    0     0    40 1163  3140 24  1 75  0
 1  0    144 2488452 117272 1247988    0    0     0     0 1162  3645 24  1 75  0
 1  0    144 2486860 117272 1247988    0    0     0     0 1162  2702 24  1 75  0
 1  0    144 2486732 117272 1247988    0    0     0    16 1160  3363 24  1 75  0
 1  0    144 2486972 117272 1247988    0    0     0     0 1160  3585 24  1 75  0
 1  0    144 2487804 117272 1247988    0    0     0    30 1161  3928 24  1 75  0
 1  0    144 2488972 117272 1247988    0    0     0     0 1162  4064 24  1 75  0
procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0    144 2487564 117272 1247988    0    0     0     0 1155  2999 24  1 75  0
 1  0    144 2487884 117272 1247988    0    0     0    24 1154  2988 24  1 75  0
 1  0    144 2487940 117272 1247988    0    0     0     0 1161  3864 24  1 75  0
 1  0    144 2488132 117272 1247988    0    0     0    40 1157  3237 24  1 75  0
 1  0    144 2488900 117272 1247988    0    0     0     0 1162  3842 24  1 75  0
 1  0    144 2485324 117272 1247988    0    0     0     0 1159  2950 24  1 74  0
 1  0    144 2485196 117272 1247988    0    0     0    40 1162  3066 24  2 75  0
 1  0    144 2485380 117272 1247988    0    0     0     0 1217  3385 24  1 75  0
 1  0    144 2485508 117272 1247988    0    0     0    28 1156  3679 24  1 75  0
Mon Aug 18 14:56:04 PDT 2008
procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0    144 2485572 117272 1247988    0    0     1     9    3     1 10  1 88  0
 1  0    144 2486668 117272 1247988    0    0     0     0 1163  3956 24  1 75  0
 1  0    144 2486540 117272 1247988    0    0     0     0 1193  3164 25  1 75  0
 1  0    144 2486604 117272 1247988    0    0     0    36 1156  3655 24  1 75  0
 1  0    144 2486660 117272 1247988    0    0     0     0 1165  3946 24  1 75  0
 1  0    144 2486724 117272 1247988    0    0     0    46 1159  3667 24  1 75  0
 1  0    144 2486724 117272 1247988    0    0     0     0 1159  3318 24  1 75  0
 1  0    144 2485004 117272 1247988    0    0     0     0 1166  3836 24  1 75  0
 1  0    144 2486476 117272 1247988    0    0     0    16 1150  3130 24  1 75  0
 1  0    144 2487492 117272 1247988    0    0     0     0 1169  2908 24  1 75  0
 1  0    144 2487492 117272 1247988    0    0     0    36 1173  3360 24  1 75  0
 1  0    144 2487820 117272 1247988    0    0     0     0 1159  3452 24  1 75  0
 1  0    144 2485580 117272 1247988    0    0     0     0 1156  2771 24  1 75  0
 1  0    144 2487052 117272 1247988    0    0     0    16 1159  3718 24  1 75  0
 1  0    144 2487036 117272 1247988    0    0     0     0 1159  3048 24  2 75  0
 1  0    144 2487804 117272 1247988    0    0     0    72 1172  3343 24  1 75  0
 1  0    144 2489404 117272 1247988    0    0     0     0 1161  3693 24  1 75  0
 1  0    144 2488204 117272 1247988    0    0     0     0 1162  3112 24  1 75  0
 1  0    144 2488652 117272 1247988    0    0     0    16 1152  3082 24  1 75  0
 2  0    144 2488708 117272 1247988    0    0     0     0 1159  3347 24  1 75  0
 1  0    144 2488900 117272 1247988    0    0     0    38 1151  3390 24  1 75  0
procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0    144 2489484 117272 1247988    0    0     0     0 1162  3036 24  1 75  0
 1  0    144 2488588 117272 1247988    0    0     0     0 1152  3261 24  1 75  0
 1  0    144 2488844 117272 1247988    0    0     0    16 1151  3323 24  1 75  0
